tid,lat_lon,date_time,taxi_id,intersection_101_280,bayshore_fwy,stop
115120,37.7494888 -122.403633,2008-05-27,63,True,True,
115120,37.7630997 -122.405151,2008-05-27,63,True,True,
115120,37.7854996 -122.401138,2008-05-27,63,True,True,
115120,37.7814789 -122.396149,2008-05-27,63,True,True,
115120,37.7765503 -122.403923,2008-05-27,63,True,True,
688586,37.6702919 -122.392174,2008-06-09,378,True,True,
885533,37.6173897 -122.387329,2008-05-31,483,True,True,airport
885533,37.6436501 -122.40609,2008-05-31,483,True,True,
885533,37.7056503 -122.394257,2008-05-31,483,True,True,
885533,37.6570091 -122.40609,2008-05-31,483,True,True,
885533,37.7183914 -122.399261,2008-05-31,483,True,True,
312068,37.6923103 -122.391312,2008-06-05,172,True,False,
312144,37.6160011 -122.38855,2008-06-06,172,True,True,airport
312144,37.6162186 -122.384377,2008-06-06,172,True,True,airport
312144,37.7848396 -122.408577,2008-06-06,172,True,True,mall
934795,37.6443214 -122.406097,2008-05-31,508,True,False,
934795,37.6754417 -122.388893,2008-05-31,508,True,False,
934795,37.6892014 -122.390511,2008-05-31,508,True,False,
934795,37.7776909 -122.401779,2008-05-31,508,True,False,
934795,37.7847786 -122.400284,2008-05-31,508,True,False,
869406,37.6386719 -122.404907,2008-05-28,474,True,False,
869406,37.6756897 -122.388802,2008-05-28,474,True,False,
869406,37.7157784 -122.398369,2008-05-28,474,True,False,
869406,37.7545891 -122.402969,2008-05-28,474,True,False,
869406,37.7764206 -122.40741,2008-05-28,474,True,False,
869406,37.7812195 -122.40831,2008-05-28,474,True,False,
869406,37.7678795 -122.404984,2008-05-28,474,True,False,
869421,37.7080994 -122.394836,2008-05-30,474,True,True,
869421,37.6813393 -122.388817,2008-05-30,474,True,True,
869421,37.6150208 -122.396584,2008-05-30,474,True,True,
869421,37.6949387 -122.391869,2008-05-30,474,True,True,
869421,37.6412201 -122.405762,2008-05-30,474,True,True,
869421,37.7470016 -122.404442,2008-05-30,474,True,True,
328903,37.6153183 -122.390251,2008-06-07,180,True,False,airport
328903,37.73629 -122.407959,2008-06-07,180,True,False,intersection_101_280
328903,37.7283096 -122.402878,2008-06-07,180,True,False,intersection_101_280
918766,37.747551 -122.404243,2008-05-28,500,True,True,
918766,37.7876816 -122.40834,2008-05-28,500,True,True,
918766,37.7818413 -122.396584,2008-05-28,500,True,True,
918766,37.7746506 -122.405968,2008-05-28,500,True,True,
918766,37.7876205 -122.405312,2008-05-28,500,True,True,
918766,37.7609482 -122.406258,2008-05-28,500,True,True,
525644,37.7852516 -122.408699,2008-05-29,290,True,True,mall
525644,37.7182503 -122.399437,2008-05-29,290,True,True,
525644,37.6428719 -122.406021,2008-05-29,290,True,True,
525644,37.7793808 -122.410698,2008-05-29,290,True,True,
509282,37.6662903 -122.396057,2008-06-02,279,True,False,
509282,37.7054291 -122.39418,2008-06-03,279,True,False,
509282,37.6278915 -122.402191,2008-06-02,279,True,False,
509282,37.7849083 -122.400291,2008-06-03,279,True,False,
509282,37.7579498 -122.404518,2008-06-03,279,True,False,
509282,37.7446518 -122.40522,2008-06-03,279,True,False,
869870,37.7171707 -122.398949,2008-06-08,474,True,False,
869870,37.7042503 -122.393913,2008-06-08,474,True,False,
869870,37.6273384 -122.401894,2008-06-08,474,True,False,
869870,37.6656113 -122.396637,2008-06-08,474,True,False,
493220,37.6147308 -122.39682,2008-05-20,270,True,False,
493220,37.7814713 -122.39592,2008-05-20,270,True,False,
493220,37.7708397 -122.405617,2008-05-20,270,True,False,
347277,37.6308403 -122.402039,2008-06-09,190,True,True,
166136,37.6437302 -122.406113,2008-05-27,89,True,True,
166136,37.6304817 -122.402519,2008-05-27,89,True,True,
166136,37.7820892 -122.410141,2008-05-27,89,True,True,
166136,37.7592888 -122.405907,2008-05-27,89,True,True,
166136,37.7459717 -122.404747,2008-05-27,89,True,True,
166136,37.7790794 -122.410698,2008-05-27,89,True,True,
149950,37.7832909 -122.405663,2008-05-27,80,True,True,mall
149950,37.7778282 -122.409126,2008-05-27,80,True,True,
149950,37.7744102 -122.405449,2008-05-27,80,True,True,
154394,37.7677193 -122.404968,2008-05-22,83,True,True,
154394,37.7773285 -122.40715,2008-05-22,83,True,True,
154394,37.7459106 -122.404694,2008-05-22,83,True,True,
154394,37.7825012 -122.403778,2008-05-22,83,True,True,
597099,37.7812309 -122.395889,2008-05-30,327,True,True,
166918,37.6649017 -122.397469,2008-06-07,89,True,False,
166918,37.7753983 -122.405357,2008-06-07,89,True,False,
166918,37.7849998 -122.403702,2008-06-07,89,True,False,
166918,37.7838287 -122.398804,2008-06-07,89,True,False,
166918,37.7566185 -122.403343,2008-06-07,89,True,False,
299060,37.7851715 -122.405006,2008-05-31,163,True,False,mall
299060,37.7492981 -122.403633,2008-05-31,163,True,False,
299060,37.7583008 -122.404861,2008-05-31,163,True,False,
299060,37.7798996 -122.410072,2008-05-31,163,True,False,
135232,37.6851006 -122.389671,2008-05-30,73,True,True,
135232,37.6351814 -122.403343,2008-05-30,73,True,True,
135232,37.7244911 -122.40139,2008-05-30,73,True,True,
135232,37.7118111 -122.395683,2008-05-30,73,True,True,
135232,37.6486282 -122.406532,2008-05-30,73,True,True,
135232,37.7845688 -122.399857,2008-05-30,73,True,True,
495702,37.7839584 -122.407791,2008-06-02,271,True,True,mall
495702,37.6187401 -122.398758,2008-06-02,271,True,True,
495702,37.6684685 -122.393982,2008-06-02,271,True,True,
495702,37.6586494 -122.405258,2008-06-02,271,True,True,
495702,37.6316719 -122.402107,2008-06-02,271,True,True,
495702,37.7212181 -122.400162,2008-06-02,271,True,True,
37114,37.7164917 -122.398888,2008-05-19,22,True,False,
37114,37.6762619 -122.388649,2008-05-19,22,True,False,
37114,37.7032585 -122.393768,2008-05-19,22,True,False,
37114,37.6538391 -122.406982,2008-05-19,22,True,False,
37114,37.6271706 -122.401939,2008-05-19,22,True,False,
37114,37.7561913 -122.403252,2008-05-19,22,True,False,
938258,37.6161613 -122.388191,2008-05-29,510,True,True,airport
938258,37.7574883 -122.403954,2008-05-29,510,True,True,
430427,37.6671715 -122.395233,2008-05-27,233,True,True,
430427,37.6933594 -122.391541,2008-05-27,233,True,True,
430427,37.7803383 -122.40947,2008-05-27,233,True,True,
430427,37.74683 -122.404457,2008-05-27,233,True,True,
